Number,Region,AreaName,EncounterRate
12,Unova,Road 12,5
13,Johto,Azalea Town,100
13,Johto,Ilex Forest,100
13,Johto,Lake of Rage,100
13,Johto,National Park,80
13,Johto,Road 30,85
13,Johto,Road 31,65
13,Johto,Road 34,100
13,Johto,Road 35,100
13,Johto,Road 36,100
13,Johto,Road 37,100
13,Johto,Road 38,100
13,Johto,Road 39,100
13,Johto,Unknown Area; all bugs,100
13,Kalos,Road 2,11
13,Kalos,Santalune Forest,20
13,Kanto,Pattern Bush,10
13,Kanto,"Road 2 (north, towards Pewter City)",100
13,Kanto,"Road 2 (south, towards Viridian City)",100
13,Kanto,Road 24,20
13,Kanto,Road 25,20
13,Kanto,Road 26,100
13,Kanto,Road 27,100
13,Kanto,Viridian Forest,100
13,Sinnoh,Eterna Forest,4
13,Sinnoh,"Road 204 (north, towards Floaroma Town)",8
13,Sinnoh,"Road 204 (south, towards Jubilife City)",8
14,Johto,Azalea Town,30
14,Johto,Ilex Forest,90
14,Johto,Lake of Rage,30
14,Johto,National Park,60
14,Johto,Road 30,25
14,Johto,Road 31,25
14,Johto,Road 34,30
14,Johto,Road 35,30
14,Johto,Road 36,30
14,Johto,Road 37,30
14,Johto,Road 38,30
14,Johto,Road 39,30
14,Kalos,Friend Safari (Poison),33
14,Kalos,Santalune Forest,4
14,Kanto,Pattern Bush,20
14,Kanto,"Road 2 (north, towards Pewter City)",51
14,Kanto,"Road 2 (south, towards Viridian City)",51
14,Kanto,Road 24,20
14,Kanto,Road 25,20
14,Kanto,Road 26,30
14,Kanto,Road 27,30
14,Kanto,Viridian Forest,100
14,Sinnoh,Eterna Forest,8
14,Unova,Road 12,20
15,Johto,Azalea Town,15
15,Johto,Ilex Forest,15
15,Johto,Lake of Rage,15
15,Johto,Road 34,15
15,Johto,Road 35,15
15,Johto,Road 36,15
15,Johto,Road 37,15
15,Johto,Road 38,15
15,Johto,Road 39,15
15,Kanto,"Road 2 (north, towards Pewter City)",14
15,Kanto,"Road 2 (south, towards Viridian City)",14
15,Kanto,Road 26,15
15,Kanto,Road 27,15
15,Kanto,Viridian Forest,100
15,Unova,Pinwheel Forest (Hidden Grotto – Inner area),20
15,Unova,Road 12,5
16,Johto,Ilex Forest,10
16,Johto,National Park,35
16,Johto,Road 29,100
16,Johto,Road 30,90
16,Johto,Road 31,60
16,Johto,Road 32,10
16,Johto,Road 34,40
16,Johto,Road 35,70
16,Johto,Road 36,100
16,Johto,Road 37,100
16,Johto,Safari Zone Forest,60
16,Kalos,Friend Safari (Flying),33
16,Kalos,Road 2,14
16,Kalos,Road 3,10
16,Kanto,Berry Forest,10
16,Kanto,Bond Bridge,30
16,Kanto,Five Isle Meadow,20
16,Kanto,Road 1,100
16,Kanto,Road 11,100
16,Kanto,Road 12,100
16,Kanto,Road 13,100
16,Kanto,Road 14,100
16,Kanto,Road 15,100
16,Kanto,Road 16,100
16,Kanto,Road 17,100
16,Kanto,Road 18,100
16,Kanto,Road 19,100
16,Kanto,"Road 2 (north, towards Pewter City)",100
16,Kanto,"Road 2 (south, towards Viridian City)",100
16,Kanto,Road 20,100
16,Kanto,Road 21,100
16,Kanto,Road 24,100
16,Kanto,Road 25,100
16,Kanto,Road 3,45
16,Kanto,Road 5,100
16,Kanto,Road 6,100
16,Kanto,Road 7,100
16,Kanto,Road 8,100
16,Kanto,Viridian Forest,100
16,Sinnoh,Road 229,40
17,Johto,Road 37,10
17,Johto,Road 38,20
17,Johto,Road 39,20
17,Johto,Road 43,60
17,Johto,Safari Zone Mountain,60
17,Johto,Safari Zone Plains,60
17,Kanto,Berry Forest,20
17,Kanto,Bond Bridge,15
17,Kanto,Five Isle Meadow,15
17,Kanto,Road 1,100
17,Kanto,Road 11,100
17,Kanto,Road 12,100
17,Kanto,Road 13,100
17,Kanto,Road 14,100
17,Kanto,Road 15,100
17,Kanto,Road 16,100
17,Kanto,Road 17,100
17,Kanto,Road 18,100
17,Kanto,Road 19,100
17,Kanto,"Road 2 (north, towards Pewter City)",100
17,Kanto,"Road 2 (south, towards Viridian City)",100
17,Kanto,Road 20,100
17,Kanto,Road 21,100
17,Kanto,Road 24,100
17,Kanto,Road 25,100
17,Kanto,Road 5,100
17,Kanto,Road 6,100
17,Kanto,Road 7,100
17,Kanto,Road 8,100
17,Kanto,Viridian Forest,13
18,Kanto,Road 1,100
18,Kanto,Road 11,100
18,Kanto,Road 12,100
18,Kanto,Road 13,100
18,Kanto,Road 14,100
18,Kanto,Road 15,100
18,Kanto,Road 16,100
18,Kanto,Road 17,100
18,Kanto,Road 18,100
18,Kanto,Road 19,100
18,Kanto,"Road 2 (north, towards Pewter City)",100
18,Kanto,"Road 2 (south, towards Viridian City)",100
18,Kanto,Road 20,100
18,Kanto,Road 21,100
18,Kanto,Road 24,100
18,Kanto,Road 25,100
18,Kanto,Road 5,100
18,Kanto,Road 6,100
18,Kanto,Road 7,100
18,Kanto,Road 8,100
19,Alola,Alola Route 1 East,30
19,Alola,Alola Route 1 Hauoli Outskirts,30
19,Alola,Alola Route 1 South,20
19,Alola,Alola Route 1 West,35
19,Alola,Alola Route 2 North,80
19,Alola,Alola Route 2 South,80
19,Alola,Alola Route 3 North,10
19,Alola,Alola Route 3 South,10
19,Alola,Alola Route 4 Area,10
19,Alola,Alola Route 6 North,10
19,Alola,Alola Route 6 South,10
19,Alola,Alola Route 8 Main,30
19,Alola,Hauoli City Shopping District,20
19,Alola,Kalae Bay Area,30
19,Alola,Verdant Cavern Trial Site,100
19,Johto,Bell Tower (10F),100
19,Johto,Bell Tower (2F),100
19,Johto,Bell Tower (3F),100
19,Johto,Bell Tower (4F),100
19,Johto,Bell Tower (5F),100
19,Johto,Bell Tower (6F),100
19,Johto,Bell Tower (7F),100
19,Johto,Bell Tower (8F),100
19,Johto,Bell Tower (9F),100
19,Johto,Burned Tower (1F),55
19,Johto,Burned Tower (B1F),100
19,Johto,Mount Mortar (1F),90
19,Johto,Mount Mortar (B1F),20
19,Johto,Mount Mortar (Lower Cave),90
19,Johto,Road 29,55
19,Johto,Road 30,40
19,Johto,Road 31,40
19,Johto,Road 32,100
19,Johto,Road 33,100
19,Johto,Road 34,90
19,Johto,Road 38,100
19,Johto,Road 39,100
19,Johto,Road 42,70
19,Johto,Road 46,90
19,Johto,Sprout Tower (2F),100
19,Johto,Sprout Tower (3F),100
19,Johto,Tohjo Falls,5
19,Johto,Union Cave (1F),60
19,Johto,Union Cave (B1F),35
19,Johto,Union Cave (B2F),5
19,Johto,Unknown Area; all Rattata,100
19,Kanto,Pokemon Mansion (1F),100
19,Kanto,Pokemon Mansion (2F),100
19,Kanto,Pokemon Mansion (3F),100
19,Kanto,Pokemon Mansion (B1F),100
19,Kanto,Road 1,100
19,Kanto,Road 10,100
19,Kanto,Road 11,100
19,Kanto,Road 16,100
19,Kanto,Road 17,100
19,Kanto,Road 18,100
19,Kanto,"Road 2 (north, towards Pewter City)",100
19,Kanto,"Road 2 (south, towards Viridian City)",100
19,Kanto,Road 21,100
19,Kanto,Road 22,100
19,Kanto,Road 3,100
19,Kanto,Road 4,100
19,Kanto,Road 5,100
19,Kanto,Road 6,100
19,Kanto,Road 7,100
19,Kanto,Road 8,100
19,Kanto,Road 9,100
19,Sinnoh,Road 225,5
19,Sinnoh,Road 226,5
19,Unova,Castelia City,60
19,Unova,Castelia Sewers,45
19,Unova,Castelia Sewers (unknown area 38),45
19,Unova,Relic Tunnel (Castelia Sewers entrance),10
20,Alola,Akala Outskirts Area,30
20,Alola,Alola Route 10 Area,30
20,Alola,Alola Route 11 Area,20
20,Alola,Alola Route 14 Area,30
20,Alola,Alola Route 15 Main,30
20,Alola,Alola Route 16 East,30
20,Alola,Alola Route 16 Main,30
20,Alola,Alola Route 16 West,20
20,Alola,Alola Route 17 Northeast,30
20,Alola,Alola Route 17 West,30
20,Alola,Alola Route 8 Main,15
20,Alola,Ancient Poni Path Area,30
20,Alola,Malie City Outer Cape,20
20,Alola,Mount Lanakila Base,20
20,Alola,Poni Gauntlet Area,30
20,Alola,Poni Grove Area,30
20,Alola,Poni Plains Center,100
20,Alola,Poni Plains East,30
20,Alola,Poni Plains North,30
20,Alola,Poni Plains West,10
20,Alola,Poni Wilds Area,30
20,Alola,Tapu Village Area,30
20,Johto,Burned Tower (1F),5
20,Johto,Mount Mortar (1F),15
20,Johto,Mount Mortar (B1F),15
20,Johto,Mount Mortar (Lower Cave),40
20,Johto,Mount Mortar (Upper Cave),40
20,Johto,Road 38,100
20,Johto,Road 39,90
20,Johto,Road 42,40
20,Johto,Road 43,35
20,Johto,Road 47,5
20,Johto,Safari Zone Mountain,60
20,Johto,Safari Zone Plains,30
20,Johto,Tohjo Falls,30
20,Johto,Union Cave (B2F),30
20,Kanto,Pokemon Mansion (1F),100
20,Kanto,Pokemon Mansion (2F),100
20,Kanto,Pokemon Mansion (3F),100
20,Kanto,Pokemon Mansion (B1F),100
20,Kanto,Road 1,5
20,Kanto,Road 10,100
20,Kanto,Road 11,100
20,Kanto,Road 16,100
20,Kanto,Road 17,100
20,Kanto,Road 18,100
20,Kanto,Road 21,100
20,Kanto,Road 26,100
20,Kanto,Road 27,100
20,Kanto,Road 3,50
20,Kanto,Road 4,50
20,Kanto,Road 6,25
20,Kanto,Road 7,100
20,Kanto,Road 8,100
20,Kanto,Road 9,100
20,Sinnoh,Road 225,30
20,Sinnoh,Road 226,30
20,Unova,Dreamyard,20
20,Unova,Dreamyard (B1F),35
20,Unova,Relic Tunnel (Relic Castle entrance),10
20,Unova,Strange House (1F),15
20,Unova,Strange House (B1F),15
21,Alola,Alola Route 2 North,40
21,Alola,Alola Route 3 North,100
21,Alola,Alola Route 3 South,49
21,Johto,Azalea Town,100
21,Johto,Road 29,100
21,Johto,Road 30,100
21,Johto,Road 31,100
21,Johto,Road 32,100
21,Johto,Road 33,100
21,Johto,Road 42,100
21,Johto,Road 43,100
21,Johto,Road 44,100
21,Johto,Road 45,100
21,Johto,Road 46,100
21,Johto,Road 47,5
21,Johto,Safari Zone Wetland,60
21,Kalos,Friend Safari (Flying),33
21,Kanto,Canyon Entrance,20
21,Kanto,Cape Brink,20
21,Kanto,Kindle Road,25
21,Kanto,Mount Ember,15
21,Kanto,Road 10,100
21,Kanto,Road 11,35
21,Kanto,Road 16,40
21,Kanto,Road 17,40
21,Kanto,Road 18,40
21,Kanto,Road 22,100
21,Kanto,Road 23,100
21,Kanto,Road 3,100
21,Kanto,Road 4,100
21,Kanto,Road 7,60
21,Kanto,Road 9,100
21,Kanto,Ruin Valley,20
21,Kanto,Treasure Beach,30
21,Kanto,Water Path,20
21,Sinnoh,Road 225,5
21,Sinnoh,Road 226,5
22,Alola,Alola Route 10 Area,100
22,Alola,Alola Route 17 Northeast,30
22,Alola,Alola Route 17 West,35
22,Alola,Mount Hokulani Main,70
22,Alola,Mount Hokulani West,40
22,Alola,Poni Plains North,70
22,Alola,Poni Plains West,20
22,Johto,Road 42,10
22,Johto,Road 47,4
22,Johto,Road 48,10
22,Johto,Safari Zone Desert,30
22,Johto,Safari Zone Wasteland,30
22,Kanto,Canyon Entrance,15
22,Kanto,Cape Brink,10
22,Kanto,Kindle Road,10
22,Kanto,Mount Ember,25
22,Kanto,Road 10,100
22,Kanto,Road 16,85
22,Kanto,Road 17,80
22,Kanto,Road 18,85
22,Kanto,Road 22,100
22,Kanto,Road 23,100
22,Kanto,Road 3,100
22,Kanto,Road 4,100
22,Kanto,Road 9,100
22,Kanto,Ruin Valley,10
22,Kanto,Sevault Canyon,15
22,Kanto,Treasure Beach,20
22,Kanto,Water Path,15
22,Sinnoh,Road 225,60
22,Sinnoh,Road 226,60
22,Sinnoh,Road 227,30
22,Sinnoh,Stark Mountain exterior,30
22,Unova,Road 15,60
23,Alola,Alola Route 2 North,70
23,Alola,Alola Route 2 South,70
23,Johto,Azalea Town,30
23,Johto,Road 32,90
23,Johto,Road 33,90
23,Johto,Road 42,90
23,Johto,Safari Zone Marshland,40
23,Kalos,Road 14,5
23,Kanto,Road 10,25
23,Kanto,Road 11,40
23,Kanto,Road 23,20
23,Kanto,Road 26,30
23,Kanto,Road 27,30
23,Kanto,Road 3,100
23,Kanto,Road 4,100
23,Kanto,Road 8,20
23,Kanto,Road 9,25
23,Sinnoh,"Road 212 (east, towards Pastoria City)",8
24,Johto,Mount Silver (outside),40
24,Johto,Road 42,10
24,Johto,Safari Zone Marshland,20
24,Kalos,Road 19,5
24,Kanto,Cerulean Cave (1F),10
24,Kanto,Cerulean Cave (B1F),5
24,Kanto,Road 23,5
24,Kanto,Road 26,15
24,Kanto,Road 27,90
24,Kanto,Road 28,20
24,Kanto,Road 3,15
24,Kanto,Road 4,15
24,Kanto,Victory Road 2 (1F),5
24,Kanto,Victory Road 2 (2F),5
24,Kanto,Victory Road 2 (3F),5
24,Sinnoh,Great Marsh Area 1,8
24,Sinnoh,Great Marsh Area 2,8
24,Sinnoh,Great Marsh Area 3,8
24,Sinnoh,Great Marsh Area 4,8
24,Sinnoh,Great Marsh Area 5,8
24,Sinnoh,Great Marsh Area 6,8
25,Alola,Alola Route 1 East,15
25,Alola,Alola Route 1 West,15
25,Alola,Hauoli City Shopping District,15
25,Hoenn,Safari Zone (SE),5
25,Hoenn,Safari Zone (SW),5
25,Kalos,Friend Safari (Electric),33
25,Kalos,Road 3,5
25,Kalos,Santalune Forest,6
25,Kanto,Power Plant,25
25,Kanto,"Road 2 (south, towards Viridian City)",15
25,Kanto,Viridian Forest,100
25,Sinnoh,Trophy Garden,10
26,Kanto,Cerulean Cave (1F),4
26,Kanto,Cerulean Cave (B1F),10
26,Kanto,Power Plant,5
27,Alola,Alola Route 14 Area,10
27,Alola,Mount Lanakila Base,30
27,Alola,Mount Lanakila Outside,30
27,Alola,Tapu Village Area,10
27,Hoenn,Mirage Tower,50
27,Hoenn,Road 111,100
27,Hoenn,Road 113,25
27,Johto,Safari Zone Desert,100
27,Johto,Union Cave (1F),60
27,Johto,Union Cave (B1F),30
27,Kalos,Friend Safari (Ground),33
27,Kanto,Mount Moon (1F),40
27,Kanto,Mount Moon (2F),20
27,Kanto,Road 10,25
27,Kanto,Road 11,40
27,Kanto,Road 23,20
27,Kanto,Road 3,100
27,Kanto,Road 4,100
27,Kanto,Road 8,20
27,Kanto,Road 9,25
27,Sinnoh,Wayward Cave (1F),8
27,Sinnoh,Wayward Cave (B1F),8
27,Unova,Desert Resort,15
27,Unova,Desert Resort (entrance),10
27,Unova,Relic Castle (A),20
28,Johto,Safari Zone Desert,90
28,Kalos,Road 18,30
28,Kalos,Terminus Cave (unknown area 343),20
28,Kalos,Terminus Cave (unknown area 344),20
28,Kalos,Terminus Cave (unknown area 345),20
28,Kalos,Terminus Cave (unknown area 347),20
28,Kalos,Terminus Cave (unknown area 348),20
28,Kanto,Cerulean Cave (1F),10
28,Kanto,Cerulean Cave (2F),10
28,Kanto,Cerulean Cave (B1F),5
28,Kanto,Mount Moon (1F),5
28,Kanto,Mount Moon (2F),5
28,Kanto,Road 23,5
28,Kanto,Road 26,90
28,Kanto,Road 27,15
28,Kanto,Victory Road 1 (1F),10
28,Kanto,Victory Road 1 (2F),10
28,Kanto,Victory Road 1 (3F),10
28,Kanto,Victory Road 2 (1F),5
28,Kanto,Victory Road 2 (2F),5
28,Kanto,Victory Road 2 (3F),5
28,Sinnoh,Road 228,8
28,Unova,Relic Castle (C),30
28,Unova,Road 15,60
29,Johto,National Park,60
29,Johto,Road 35,100
29,Johto,Road 36,90
29,Johto,Safari Zone Savannah,100
29,Kalos,Road 11,60
29,Kanto,Road 10,100
29,Kanto,"Road 2 (south, towards Viridian City)",15
29,Kanto,Road 22,100
29,Kanto,Road 23,100
29,Kanto,Road 3,14
29,Kanto,Road 9,100
29,Kanto,"Safari Zone (Area 1, east)",20
29,Kanto,"Safari Zone (Area 2, north)",20
29,Kanto,"Safari Zone (Area 3, west)",20
29,Kanto,Safari Zone (middle),20
29,Sinnoh,Road 201,20
29,Unova, Route 2 (Hidden Grotto),10
30,Johto,Safari Zone Savannah,30
30,Kalos,Road 11,5
30,Kanto,Road 10,100
30,Kanto,Road 13,90
30,Kanto,Road 14,90
30,Kanto,Road 15,90
30,Kanto,Road 23,100
30,Kanto,Road 9,100
30,Kanto,"Safari Zone (Area 1, east)",10
30,Kanto,"Safari Zone (Area 2, north)",10
30,Kanto,"Safari Zone (Area 3, west)",10
30,Kanto,Safari Zone (middle),10
30,Sinnoh,Road 221,20
30,Sinnoh,Valor Lakefront,20
31,Kanto,Road 23,100
32,Johto,National Park,60
32,Johto,Road 35,100
32,Johto,Road 36,90
32,Kalos,Road 11,60
32,Kanto,Road 10,100
32,Kanto,"Road 2 (south, towards Viridian City)",15
32,Kanto,Road 22,100
32,Kanto,Road 23,100
32,Kanto,Road 3,14
32,Kanto,Road 9,100
32,Kanto,"Safari Zone (Area 1, east)",20
32,Kanto,"Safari Zone (Area 2, north)",20
32,Kanto,"Safari Zone (Area 3, west)",20
32,Kanto,Safari Zone (middle),20
32,Sinnoh,Road 201,20
32,Unova, Route 2 (Hidden Grotto),10
33,Johto,Safari Zone Savannah,30
33,Kalos,Road 11,10
33,Kanto,Road 10,100
33,Kanto,Road 13,90
33,Kanto,Road 14,90
33,Kanto,Road 15,90
33,Kanto,Road 23,100
33,Kanto,Road 9,100
33,Kanto,"Safari Zone (Area 1, east)",10
33,Kanto,"Safari Zone (Area 2, north)",10
33,Kanto,"Safari Zone (Area 3, west)",10
33,Kanto,Safari Zone (middle),10
33,Sinnoh,Road 221,20
33,Sinnoh,Valor Lakefront,20
34,Kanto,Road 23,100
35,Alola,Mount Hokulani East,15
35,Alola,Mount Hokulani Main,15
35,Alola,Mount Hokulani West,15
35,Johto,Safari Zone Meadow,10
35,Kalos,Friend Safari (Fairy),33
35,Kanto,Mount Moon (1F),100
35,Kanto,Mount Moon (2F),5
35,Kanto,Mount Moon (B1F),100
35,Kanto,Mount Moon (B2F),100
35,Kanto,Road 3,5
35,Kanto,Road 4,5
35,Sinnoh,Mount Coronet (1F Road 207),20
35,Sinnoh,Mount Coronet (1F Road 216),20
35,Sinnoh,Mount Coronet (1F from exterior),27
35,Sinnoh,Mount Coronet (2F),27
35,Sinnoh,Mount Coronet (3F),27
35,Sinnoh,Mount Coronet (4F small room),27
35,Sinnoh,Mount Coronet (4F),27
35,Sinnoh,Mount Coronet (5F),27
35,Sinnoh,Mount Coronet (6F),27
35,Sinnoh,Mount Coronet (B1F),20
35,Sinnoh,Mount Coronet (exterior blizzard),17
35,Sinnoh,Mount Coronet (exterior snowfall),17
35,Unova,Giant Chasm,15
35,Unova,Giant Chasm (Hidden Grotto),75
35,Unova,Giant Chasm (forest cave),40
35,Unova,Giant Chasm (forest),60
35,Unova,Giant Chasm (outside),30
36,Kanto,Mount Moon (B2F),100
36,Unova,Giant Chasm (forest cave),5
36,Unova,Giant Chasm (forest),5
36,Unova,Giant Chasm (outside),5
37,Alola,Alola Route 14 Area,10
37,Alola,Mount Lanakila Base,30
37,Alola,Mount Lanakila Outside,30
37,Alola,Tapu Village Area,10
37,Hoenn,Mirage Forest (North of Route 124),10
37,Hoenn,Mount Pyre (outside),30
37,Hoenn,Mount Pyre (summit),5
37,Johto,Road 36,35
37,Johto,Road 37,35
37,Johto,Road 48,29
37,Kanto,Pokemon Mansion (1F),15
37,Kanto,Pokemon Mansion (2F),20
37,Kanto,Pokemon Mansion (3F),20
37,Kanto,Pokemon Mansion (B1F),15
37,Kanto,Road 5,100
37,Kanto,Road 6,100
37,Kanto,Road 7,100
37,Kanto,Road 8,100
37,Sinnoh,Road 209,8
37,Sinnoh,Road 214,8
37,Unova,Abundant Shrine,40
37,Unova,Abundant Shrine (Hidden Grotto – Near Youngster),5
38,Kalos,Friend Safari (Fire),33
38,Kanto,Road 7,100
38,Kanto,Road 8,100
38,Unova,Abundant Shrine,5
39,Alola,Alola Route 4 Area,15
39,Alola,Alola Route 6 North,15
39,Alola,Alola Route 6 South,15
39,Hoenn,Road 115,10
39,Johto,Road 34,15
39,Johto,Road 35,15
39,Johto,Road 46,15
39,Johto,Safari Zone Meadow,100
39,Johto,Safari Zone Swamp,60
39,Kalos,Friend Safari (Fairy),33
39,Kalos,Pokemon Village,30
39,Kalos,Road 20,30
39,Kanto,Road 3,30
39,Kanto,Road 4,30
39,Kanto,Road 5,100
39,Kanto,Road 6,100
39,Kanto,Road 7,100
39,Kanto,Road 8,100
39,Unova,Dreamyard,20
39,Unova,Dreamyard (B1F),10
39,Unova,Road 1,20
39,Unova,Road 14,40
39,Unova,Road 2,10
40,Kanto,Cerulean Cave (2F),5
40,Unova,Dreamyard,5
40,Unova,Road 1,5
40,Unova,Road 14,5
40,Unova,Road 2,5
41,Alola,Digletts Tunnel Area,70
41,Alola,Hauoli Cemetery Area,20
41,Alola,Lush Jungle East Cave,70
41,Alola,Memorial Hill Area,20
41,Alola,Sandy Cave Area,70
41,Alola,Seaward Cave Area,100
41,Alola,Ten Carat Hill Inside,30
41,Alola,Verdant Cavern Trial Site,70
41,Hoenn,Altering Cave,100
41,Hoenn,Cave of Origin (1F),100
41,Hoenn,Cave of Origin (B1F),100
41,Hoenn,Cave of Origin (B2F),100
41,Hoenn,Cave of Origin (B3F),100
41,Hoenn,Cave of Origin (entrance),100
41,Hoenn,Granite Cave (1F),60
41,Hoenn,Granite Cave (1F/small room),30
41,Hoenn,Granite Cave (B1F),60
41,Hoenn,Granite Cave (B2F),60
41,Hoenn,Meteor Falls,100
41,Hoenn,Meteor Falls (B1F),100
41,Hoenn,Meteor Falls (back),100
41,Hoenn,Meteor Falls (back/small room),95
41,Hoenn,Scorched Slab (B1F),100
41,Hoenn,Scorched Slab (B2F),100
41,Hoenn,Scorched Slab (B3F),100
41,Hoenn,Seafloor Cavern,100
41,Hoenn,Shoal Cave,75
41,Hoenn,Shoal Cave (B1F),60
41,Hoenn,Shoal Cave B2F,60
41,Hoenn,Shoal Cave B3F,60
41,Hoenn,Shoal Cave Low Tide,60
41,Hoenn,Victory Road (1F),60
41,Hoenn,Victory Road (B1F),60
41,Johto,Burned Tower (1F),10
41,Johto,Burned Tower (B1F),15
41,Johto,Dark Cave (Blackthorn City entrance),90
41,Johto,Dark Cave (Violet City entrance),100
41,Johto,Ice Path (1F),70
41,Johto,Ice Path (B1F),70
41,Johto,Ice Path (B2F),70
41,Johto,Ice Path (B3F),70
41,Johto,Ilex Forest,35
41,Johto,Mount Mortar (1F),90
41,Johto,Mount Mortar (B1F),100
41,Johto,Mount Mortar (Lower Cave),20
41,Johto,Road 30,5
41,Johto,Road 31,5
41,Johto,Road 32,10
41,Johto,Road 33,45
41,Johto,Road 42,40
41,Johto,Road 47 (inside cave),5
41,Johto,Safari Zone Mountain,30
41,Johto,Safari Zone Rocky Beach,30
41,Johto,Safari Zone Savannah,30
41,Johto,Slowpoke Well (1F),85
41,Johto,Slowpoke Well (B1F),80
41,Johto,Tohjo Falls,30
41,Johto,Union Cave (1F),55
41,Johto,Union Cave (B1F),100
41,Johto,Union Cave (B2F),100
41,Johto,Whirl Islands (1F),90
41,Johto,Whirl Islands (B1F),90
41,Johto,Whirl Islands (B2F),90
41,Johto,Whirl Islands (B3F),90
41,Kalos,Connecting Cave,65
41,Kanto,Altering Cave (A),100
41,Kanto,Cerulean Cave (1F),100
41,Kanto,Cerulean Cave (2F),100
41,Kanto,Cerulean Cave (B1F),100
41,Kanto,Digletts Cave,100
41,Kanto,Icefall Cave (1F),10
41,Kanto,Icefall Cave (B1F),10
41,Kanto,Icefall Cave (entrance),10
41,Kanto,Icefall Cave (waterfall),10
41,Kanto,Lost Cave (item rooms),20
41,Kanto,Lost Cave (room 1),20
41,Kanto,Lost Cave (room 10),20
41,Kanto,Lost Cave (room 2),20
41,Kanto,Lost Cave (room 3),20
41,Kanto,Lost Cave (room 4),20
41,Kanto,Lost Cave (room 5),20
41,Kanto,Lost Cave (room 6),20
41,Kanto,Lost Cave (room 7),20
41,Kanto,Lost Cave (room 8),20
41,Kanto,Lost Cave (room 9),20
41,Kanto,Mount Moon (1F),100
41,Kanto,Mount Moon (2F),50
41,Kanto,Mount Moon (B1F),100
41,Kanto,Mount Moon (B2F),100
41,Kanto,Pokemon Tower (3F),100
41,Kanto,Pokemon Tower (4F),100
41,Kanto,Pokemon Tower (5F),100
41,Kanto,Pokemon Tower (6F),100
41,Kanto,Road 10,5
41,Kanto,Road 3,30
41,Kanto,Road 4,30
41,Kanto,Road 9,5
41,Kanto,Rock Tunnel (1F),100
41,Kanto,Rock Tunnel (B1F),100
41,Kanto,Rock Tunnel (B2F),50
41,Kanto,Seafoam Islands (1F),100
41,Kanto,Seafoam Islands (B1F),100
