species_id,evolves_into_id,trigger,min_level,min_happiness,trigger_item,time_of_day,location,held_item,known_move,chain_id
133,135,use-item,,,thunder-stone,,,,,67
133,136,use-item,,,fire-stone,,,,,67
133,196,level-up,,160,,day,,,,67
133,197,level-up,,160,,night,,,,67
133,470,level-up,,,,,eterna-forest,,,67
133,471,level-up,,,,,sinnoh-route-217,,,67
133,700,level-up,,,,,,,,67
137,233,trade,,,,,,up-grade,,68
233,474,trade,,,,,,dubious-disc,,68
138,139,level-up,40,,,,,,,69
140,141,level-up,40,,,,,,,70
446,143,level-up,,160,,,,,,72
147,148,level-up,30,,,,,,,76
148,149,level-up,55,,,,,,,76
152,153,level-up,16,,,,,,,79
153,154,level-up,32,,,,,,,79
155,156,level-up,14,,,,,,,80
156,157,level-up,36,,,,,,,80
158,159,level-up,18,,,,,,,81
159,160,level-up,30,,,,,,,81
161,162,level-up,15,,,,,,,82
163,164,level-up,20,,,,,,,83
165,166,level-up,18,,,,,,,84
167,168,level-up,22,,,,,,,85
170,171,level-up,27,,,,,,,86
175,176,level-up,,160,,,,,,87
176,468,use-item,,,shiny-stone,,,,,87
177,178,level-up,25,,,,,,,88
179,180,level-up,15,,,,,,,89
180,181,level-up,30,,,,,,,89
183,184,level-up,18,,,,,,,90
298,183,level-up,,160,,,,,,90
438,185,level-up,,,,,,,mimic,91
187,188,level-up,18,,,,,,,92
188,189,level-up,27,,,,,,,92
190,424,level-up,,,,,,,double-hit,93
191,192,use-item,,,sun-stone,,,,,94
193,469,level-up,,,,,,,ancient-power,95
194,195,level-up,20,,,,,,,96
194,980,level-up,20,,,,,,,96
198,430,use-item,,,dusk-stone,,,,,97
200,429,use-item,,,dusk-stone,,,,,98
360,202,level-up,15,,,,,,,100
203,981,level-up,,,,,,,twin-beam,101
204,205,level-up,31,,,,,,,102
206,982,level-up,,,,,,,hyper-drill,103
207,472,level-up,,,,night,,razor-fang,,104
209,210,level-up,23,,,,,,,105
211,904,strong-style-move,,,,,,,,106
215,461,level-up,,,,night,,razor-claw,,109
215,903,level-up,,,,day,,razor-claw,,109
216,217,level-up,30,,,,,,,110
217,901,use-item,,,peat-block,full-moon,,,,110
218,219,level-up,38,,,,,,,111
220,221,level-up,33,,,,,,,112
221,473,level-up,,,,,,,ancient-power,112
222,864,level-up,38,,,,,,,113
223,224,level-up,25,,,,,,,114
458,226,level-up,,,,,,,,116
228,229,level-up,24,,,,,,,118
231,232,level-up,25,,,,,,,119
234,899,agile-style-move,,,,,,,,120
246,247,level-up,30,,,,,,,126
247,248,level-up,55,,,,,,,126
252,253,level-up,16,,,,,,,130
253,254,level-up,36,,,,,,,130
255,256,level-up,16,,,,,,,131
256,257,level-up,36,,,,,,,131
258,259,level-up,16,,,,,,,132
259,260,level-up,36,,,,,,,132
261,262,level-up,18,,,,,,,133
263,264,level-up,20,,,,,,,134
264,862,level-up,35,,,night,,,,134
265,266,level-up,7,,,,,,,135
265,268,level-up,7,,,,,,,135
266,267,level-up,10,,,,,,,135
268,269,level-up,10,,,,,,,135
270,271,level-up,14,,,,,,,136
271,272,use-item,,,water-stone,,,,,136
273,274,level-up,14,,,,,,,137
274,275,use-item,,,leaf-stone,,,,,137
276,277,level-up,22,,,,,,,138
278,279,level-up,25,,,,,,,139
280,281,level-up,20,,,,,,,140
281,282,level-up,30,,,,,,,140
281,475,use-item,,,dawn-stone,,,,,140
283,284,level-up,22,,,,,,,141
285,286,level-up,23,,,,,,,142
287,288,level-up,18,,,,,,,143
288,289,level-up,36,,,,,,,143
290,291,level-up,20,,,,,,,144
290,292,shed,,,,,,,,144
293,294,level-up,20,,,,,,,145
294,295,level-up,40,,,,,,,145
296,297,level-up,24,,,,,,,146
299,476,level-up,,,,,mt-coronet,,,147
300,301,use-item,,,moon-stone,,,,,148
304,305,level-up,32,,,,,,,151
305,306,level-up,42,,,,,,,151
307,308,level-up,37,,,,,,,152
309,310,level-up,26,,,,,,,153
315,407,use-item,,,shiny-stone,,,,,158
406,315,level-up,,160,,day,,,,158
316,317,level-up,26,,,,,,,159
318,319,level-up,30,,,,,,,160
320,321,level-up,40,,,,,,,161
322,323,level-up,33,,,,,,,162
325,326,level-up,32,,,,,,,164
328,329,level-up,35,,,,,,,166
329,330,level-up,45,,,,,,,166
331,332,level-up,32,,,,,,,167
333,334,level-up,35,,,,,,,168
339,340,level-up,30,,,,,,,173
341,342,level-up,30,,,,,,,174
343,344,level-up,36,,,,,,,175
345,346,level-up,40,,,,,,,176
347,348,level-up,40,,,,,,,177
349,350,level-up,,,,,,,,178
353,354,level-up,37,,,,,,,181
355,356,level-up,37,,,,,,,182
356,477,trade,,,,,,reaper-cloth,,182
433,358,level-up,,220,,night,,,,184
361,362,level-up,42,,,,,,,186
361,478,use-item,,,dawn-stone,,,,,186
363,364,level-up,32,,,,,,,187
364,365,level-up,44,,,,,,,187
366,367,trade,,,,,,deep-sea-tooth,,188
366,368,trade,,,,,,deep-sea-scale,,188
371,372,level-up,30,,,,,,,191
372,373,level-up,50,,,,,,,191
374,375,level-up,20,,,,,,,192
375,376,level-up,45,,,,,,,192
387,388,level-up,18,,,,,,,203
388,389,level-up,32,,,,,,,203
390,391,level-up,14,,,,,,,204
391,392,level-up,36,,,,,,,204
393,394,level-up,16,,,,,,,205
394,395,level-up,36,,,,,,,205
396,397,level-up,14,,,,,,,206
397,398,level-up,34,,,,,,,206
399,400,level-up,15,,,,,,,207
401,402,level-up,10,,,,,,,208
403,404,level-up,15,,,,,,,209
404,405,level-up,30,,,,,,,209
408,409,level-up,30,,,,,,,211
410,411,level-up,30,,,,,,,212
412,413,level-up,20,,,,,,,213
412,414,level-up,20,,,,,,,213
415,416,level-up,21,,,,,,,214
418,419,level-up,26,,,,,,,216
420,421,level-up,25,,,,,,,217
422,423,level-up,30,,,,,,,218
425,426,level-up,28,,,,,,,219
427,428,level-up,,160,,,,,,220
431,432,level-up,38,,,,,,,221
434,435,level-up,34,,,,,,,223
436,437,level-up,33,,,,,,,224
443,444,level-up,24,,,,,,,230
444,445,level-up,48,,,,,,,230
447,448,level-up,,160,,day,,,,232
449,450,level-up,34,,,,,,,233
451,452,level-up,40,,,,,,,234
453,454,level-up,37,,,,,,,235
456,457,level-up,31,,,,,,,237
459,460,level-up,40,,,,,,,239
495,496,level-up,17,,,,,,,256
496,497,level-up,36,,,,,,,256
498,499,level-up,17,,,,,,,257
499,500,level-up,36,,,,,,,257
501,502,level-up,17,,,,,,,258
502,503,level-up,36,,,,,,,258
504,505,level-up,20,,,,,,,259
506,507,level-up,16,,,,,,,260
507,508,level-up,32,,,,,,,260
509,510,level-up,20,,,,,,,261
511,512,use-item,,,leaf-stone,,,,,262
513,514,use-item,,,fire-stone,,,,,263
515,516,use-item,,,water-stone,,,,,264
517,518,use-item,,,moon-stone,,,,,265
519,520,level-up,21,,,,,,,266
520,521,level-up,32,,,,,,,266
522,523,level-up,27,,,,,,,267
524,525,level-up,25,,,,,,,268
525,526,trade,,,,,,,,268
527,528,level-up,,160,,,,,,269
529,530,level-up,31,,,,,,,270
532,533,level-up,25,,,,,,,272
533,534,trade,,,,,,,,272
535,536,level-up,25,,,,,,,273
536,537,level-up,36,,,,,,,273
540,541,level-up,20,,,,,,,276
541,542,level-up,,220,,,,,,276
543,544,level-up,22,,,,,,,277
544,545,level-up,30,,,,,,,277
546,547,use-item,,,sun-stone,,,,,278
548,549,use-item,,,sun-stone,,,,,279
550,902,recoil-damage,,,,,,,,280
551,552,level-up,29,,,,,,,281
552,553,level-up,40,,,,,,,281
554,555,level-up,35,,,,,,,282
557,558,level-up,34,,,,,,,284
559,560,level-up,39,,,,,,,285
562,563,level-up,34,,,,,,,287
562,867,take-damage,,,,,,,,287
564,565,level-up,37,,,,,,,288
566,567,level-up,37,,,,,,,289
568,569,level-up,36,,,,,,,290
570,571,level-up,30,,,,,,,291
572,573,use-item,,,shiny-stone,,,,,292
574,575,level-up,32,,,,,,,293
575,576,level-up,41,,,,,,,293
577,578,level-up,32,,,,,,,294
578,579,level-up,41,,,,,,,294
580,581,level-up,35,,,,,,,295
582,583,level-up,35,,,,,,,296
583,584,level-up,47,,,,,,,296
585,586,level-up,34,,,,,,,297
588,589,trade,,,,,,,,299
590,591,level-up,39,,,,,,,300
592,593,level-up,40,,,,,,,301
595,596,level-up,36,,,,,,,303
597,598,level-up,40,,,,,,,304
599,600,level-up,38,,,,,,,305
600,601,level-up,49,,,,,,,305
602,603,level-up,39,,,,,,,306
603,604,use-item,,,thunder-stone,,,,,306
605,606,level-up,42,,,,,,,307
607,608,level-up,41,,,,,,,308
608,609,use-item,,,dusk-stone,,,,,308
610,611,level-up,38,,,,,,,309
611,612,level-up,48,,,,,,,309
613,614,level-up,37,,,,,,,310
616,617,trade,,,,,,,,312
619,620,level-up,50,,,,,,,314
622,623,level-up,43,,,,,,,316
624,625,level-up,52,,,,,,,317
625,983,three-defeated-bisharp,,,,,,,,317
627,628,level-up,54,,,,,,,319
629,630,level-up,54,,,,,,,320
633,634,level-up,50,,,,,,,323
634,635,level-up,64,,,,,,,323
636,637,level-up,59,,,,,,,324
650,651,level-up,16,,,,,,,337
651,652,level-up,36,,,,,,,337
653,654,level-up,16,,,,,,,338
654,655,level-up,36,,,,,,,338
656,657,level-up,16,,,,,,,339
657,658,level-up,36,,,,,,,339
659,660,level-up,20,,,,,,,340
661,662,level-up,17,,,,,,,341
662,663,level-up,35,,,,,,,341
664,665,level-up,9,,,,,,,342
665,666,level-up,12,,,,,,,342
667,668,level-up,35,,,,,,,343
669,670,level-up,19,,,,,,,344
670,671,use-item,,,shiny-stone,,,,,344
672,673,level-up,32,,,,,,,345
674,675,level-up,32,,,,,,,346
677,678,level-up,25,,,,,,,348
679,680,level-up,35,,,,,,,349
680,681,use-item,,,dusk-stone,,,,,349
682,683,trade,,,,,,sachet,,350
684,685,trade,,,,,,whipped-dream,,351
686,687,level-up,30,,,,,,,352
688,689,level-up,39,,,,,,,353
690,691,level-up,48,,,,,,,354
692,693,level-up,37,,,,,,,355
694,695,use-item,,,sun-stone,,,,,356
696,697,level-up,39,,,day,,,,357
698,699,level-up,39,,,night,,,,358
704,705,level-up,40,,,,,,,362
705,706,level-up,50,,,,,,,362
708,709,trade,,,,,,,,364
710,711,trade,,,,,,,,365
712,713,level-up,37,,,,,,,366
714,715,level-up,48,,,,,,,367
722,723,level-up,17,,,,,,,374
723,724,level-up,34,,,,,,,374
725,726,level-up,17,,,,,,,375
726,727,level-up,34,,,,,,,375
728,729,level-up,17,,,,,,,376
729,730,level-up,34,,,,,,,376
731,732,level-up,14,,,,,,,377
732,733,level-up,28,,,,,,,377
734,735,level-up,20,,,day,,,,378
736,737,level-up,20,,,,,,,379
737,738,level-up,,,,,vast-poni-canyon,,,379
739,740,level-up,,,,,mount-lanakila,,,380
742,743,level-up,25,,,,,,,382
744,745,level-up,25,,,day,,,,383
747,748,level-up,38,,,,,,,385
749,750,level-up,30,,,,,,,386
751,752,level-up,22,,,,,,,387
753,754,level-up,34,,,day,,,,388
755,756,level-up,24,,,,,,,389
757,758,level-up,33,,,,,,,390
759,760,level-up,27,,,,,,,391
761,762,level-up,18,,,,,,,392
762,763,level-up,,,,,,,stomp,392
767,768,level-up,30,,,,,,,396
769,770,level-up,42,,,,,,,397
772,773,level-up,,160,,,,,,399
782,783,level-up,35,,,,,,,408
783,784,level-up,45,,,,,,,408
789,790,level-up,43,,,,,,,413
790,791,level-up,53,,,,,,,413
790,792,level-up,53,,,,,,,413
803,804,level-up,,,,,,,dragon-pulse,424
810,811,level-up,16,,,,,,,430
811,812,level-up,35,,,,,,,430
813,814,level-up,16,,,,,,,431
814,815,level-up,35,,,,,,,431
816,817,level-up,16,,,,,,,432
817,818,level-up,35,,,,,,,432
819,820,level-up,24,,,,,,,433
821,822,level-up,18,,,,,,,434
822,823,level-up,38,,,,,,,434
824,825,level-up,10,,,,,,,435
825,826,level-up,30,,,,,,,435
827,828,level-up,18,,,,,,,436
829,830,level-up,20,,,,,,,437
831,832,level-up,24,,,,,,,438
833,834,level-up,22,,,,,,,439
835,836,level-up,25,,,,,,,440
837,838,level-up,18,,,,,,,441
838,839,level-up,34,,,,,,,441
840,841,use-item,,,tart-apple,,,,,442
840,842,use-item,,,sweet-apple,,,,,442
840,1011,use-item,,,syrupy-apple,,,,,442
1011,1019,level-up,,,,,,,dragon-cheer,442
843,844,level-up,36,,,,,,,443
846,847,level-up,26,,,,,,,445
848,849,level-up,30,,,,,,,446
850,851,level-up,28,,,,,,,447
852,853,level-up,,,,,,,taunt,448
854,855,use-item,,,cracked-pot,,,,,449
856,857,level-up,32,,,,,,,450
857,858,level-up,42,,,,,,,450
859,860,level-up,32,,,,,,,451
860,861,level-up,42,,,,,,,451
868,869,spin,,,,,,,,452
872,873,level-up,,160,,night,,,,455
878,879,level-up,34,,,,,,,460
884,1018,use-item,,,metal-alloy,,,,,465
885,886,level-up,50,,,,,,,466
886,887,level-up,60,,,,,,,466
891,892,tower-of-darkness,,,,,,,,470
906,907,level-up,16,,,,,,,478
907,908,level-up,36,,,,,,,478
909,910,level-up,16,,,,,,,479
910,911,level-up,36,,,,,,,479
912,913,level-up,16,,,,,,,480
913,914,level-up,36,,,,,,,480
915,916,level-up,18,,,,,,,481
917,918,level-up,15,,,,,,,482
919,920,level-up,24,,,,,,,483
921,922,level-up,18,,,,,,,484
922,923,level-up,,,,,,,,484
924,925,other,25,,,,,,,485
926,927,level-up,26,,,,,,,486
928,929,level-up,25,,,,,,,487
929,930,level-up,35,,,,,,,487
932,933,level-up,24,,,,,,,489
933,934,level-up,38,,,,,,,489
935,936,use-item,,,auspicious-armor,,,,,490
935,937,use-item,,,malicious-armor,,,,,490
938,939,use-item,,,thunder-stone,,,,,491
940,941,level-up,25,,,,,,,492
942,943,level-up,30,,,,,,,493
944,945,level-up,28,,,,,,,494
946,947,level-up,,,,,,,,495
948,949,level-up,30,,,,,,,496
951,952,use-item,,,fire-stone,,,,,498
953,954,level-up,,,,,,,,499
955,956,level-up,35,,,,,,,500
957,958,level-up,24,,,,,,,501
958,959,level-up,38,,,,,,,501
960,961,level-up,26,,,,,,,502
963,964,level-up,38,,,,,,,504
965,966,level-up,40,,,,,,,505
969,970,level-up,35,,,,,,,508
971,972,level-up,30,,,night,,,,509
974,975,use-item,,,ice-stone,,,,,511
996,997,level-up,35,,,,,,,527
997,998,level-up,54,,,,,,,527
999,1000,gimmighoul-coins,,,,,,,,528
1012,1013,use-item,,,unremarkable-teacup,,,,,539
