Number,HeightM,WeightKg,BaseExperience,ArtworkURL,AnimatedGifURL,CaptureRate,BaseHappiness,GenderRate,Genus,FlavorText,Color,Shape,Habitat,EggGroup1,EggGroup2,GrowthRate
48,1.0,30.0,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/48.gif,190,70,4,Insect Pokémon,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",Purple,Humanoid,Forest,Bug,,Medium
49,1.5,12.5,158,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/49.gif,75,70,4,Poison Moth Pokémon,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,Purple,Bug Wings,Forest,Bug,,Medium
50,0.2,0.8,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/50.gif,255,70,4,Mole Pokémon,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",Brown,Blob,Cave,Ground,,Medium
51,0.7,33.3,149,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/51.gif,50,70,4,Mole Pokémon,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,Brown,Heads,Cave,Ground,,Medium
52,0.4,4.2,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/52.gif,255,70,4,Scratch Cat Pokémon,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",Yellow,Quadruped,Urban,Ground,,Medium
53,1.0,32.0,154,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/53.gif,90,70,4,Classy Cat Pokémon,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,Yellow,Quadruped,Urban,Ground,,Medium
54,0.8,19.6,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/54.gif,190,70,4,Duck Pokémon,"Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain.",Yellow,Upright,Waters Edge,Water1,Ground,Medium
55,1.7,76.6,175,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/55.gif,75,70,4,Duck Pokémon,"Its body is strong, and it has webbing on its hands and feet. Golduck can swim easily through rough seas, clawing its way through the high waves.",Blue,Upright,Waters Edge,Water1,Ground,Medium
56,0.5,28.0,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/56.gif,190,70,4,Pig Monkey Pokémon,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,Brown,Upright,Mountain,Ground,,Medium
57,1.0,32.0,159,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/57.gif,75,70,4,Pig Monkey Pokémon,It stops being angry only when nobody else is around. To view this moment is very difficult.,Brown,Upright,Mountain,Ground,,Medium
58,0.7,19.0,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/58.gif,190,70,2,Puppy Pokémon,They patrol their territory in pairs. I believe the igneous rock components in the fur of this species are the result of volcanic activity in its habitat.,Brown,Quadruped,Grassland,Ground,,Slow
59,1.9,155.0,194,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/59.gif,75,70,2,Legendary Pokémon,"Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.",Brown,Quadruped,Grassland,Ground,,Slow
60,0.6,12.4,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/60.gif,255,70,4,Tadpole Pokémon,"In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup.",Blue,Legs,Waters Edge,Water1,,Medium Slow
61,1.0,20.0,135,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/61.gif,120,70,4,Tadpole Pokémon,"This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape.",Blue,Humanoid,Waters Edge,Water1,,Medium Slow
62,1.3,54.0,230,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/62.gif,45,70,4,Tadpole Pokémon,Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.,Blue,Humanoid,Waters Edge,Water1,,Medium Slow
63,0.9,19.5,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/63.gif,200,70,2,Psi Pokémon,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.",Brown,Upright,Urban,Humanshape,,Medium Slow
64,1.3,56.5,140,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/64.gif,100,70,2,Psi Pokémon,"There are rumors that a child with mystical powers became a Kadabra; however, this remains unverified. I suspect that the spoon Kadabra holds enhances its brain waves.",Brown,Upright,Urban,Humanshape,,Medium Slow
65,1.5,48.0,225,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/65.gif,50,70,2,Psi Pokémon,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.",Brown,Humanoid,Urban,Humanshape,,Medium Slow
66,0.8,19.5,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/66.gif,180,70,2,Superpower Pokémon,"Though as small as a child, it has strength enough to easily throw a well-built adult. Striving to become ever stronger, Machop trains by carrying a Graveler on its shoulders.",Gray,Upright,Mountain,Humanshape,,Medium Slow
67,1.5,70.5,142,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/67.gif,90,70,2,Superpower Pokémon,A sturdy creature boasting a robust physique and boundless stamina. Loves training above all else and voluntarily assists with tasks such as construction and clearing land.,Gray,Humanoid,Mountain,Humanshape,,Medium Slow
68,1.6,130.0,227,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/68.gif,45,70,2,Superpower Pokémon,"In close combat, its four arms afford it offensive and defensive supremacy. In but a blink, this valiant Pokémon can overwhelm its foes with more than 1,000 blows from its fists.",Gray,Humanoid,Mountain,Humanshape,,Medium Slow
69,0.7,4.0,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/69.gif,255,70,4,Flower Pokémon,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,Green,Humanoid,Forest,Plant,,Medium Slow
70,1.0,6.4,137,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/70.gif,120,70,4,Flycatcher Pokémon,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",Green,Blob,Forest,Plant,,Medium Slow
71,1.7,15.5,221,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/showdown/71.gif,45,70,4,Flycatcher Pokémon,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",Green,Blob,Forest,Plant,,Medium Slow
